metodo,h,alvo,y_true,y_comb,intervalo_inf,intervalo_sup,dentro
conformal_padrao,1,2023-07-01,-0.015826,-0.003917,-0.035253,0.027420,True
conformal_padrao,1,2023-08-01,0.002004,-0.014311,-0.045647,0.017026,True
conformal_padrao,1,2023-09-01,0.014257,-0.002343,-0.033680,0.028993,True
conformal_padrao,1,2023-10-01,0.003006,0.005907,-0.025430,0.037243,True
conformal_padrao,1,2023-11-01,0.014028,-0.001571,-0.032907,0.029765,True
conformal_padrao,1,2023-12-01,0.032032,0.005893,-0.025443,0.037230,True
conformal_padrao,1,2024-01-01,0.020060,0.018243,-0.013094,0.049579,True
conformal_padrao,1,2024-02-01,0.022111,0.010214,-0.021122,0.041551,True
conformal_padrao,1,2024-03-01,0.017928,0.011941,-0.019395,0.043277,True
conformal_padrao,1,2024-04-01,0.020020,0.009499,-0.021837,0.040836,True
conformal_padrao,1,2024-05-01,0.000000,0.011013,-0.020323,0.042350,True
conformal_padrao,1,2024-06-01,0.049950,-0.002205,-0.033541,0.029131,False
conformal_padrao,1,2024-07-01,0.040201,0.030946,-0.000391,0.062282,True
conformal_padrao,1,2024-08-01,0.033000,0.025382,-0.005955,0.056718,True
conformal_padrao,1,2024-09-01,0.047189,0.021443,-0.009893,0.052779,True
conformal_padrao,1,2024-10-01,0.041958,0.032007,0.000671,0.063344,True
conformal_padrao,1,2024-11-01,0.024704,0.029065,-0.002272,0.060401,True
conformal_padrao,1,2024-12-01,0.005820,0.017662,-0.013675,0.048998,True
conformal_padrao,1,2025-01-01,0.018682,0.004887,-0.026450,0.036223,True
conformal_padrao,1,2025-02-01,0.012783,0.013827,-0.017509,0.045164,True
conformal_padrao,1,2025-03-01,0.027397,0.009125,-0.022212,0.040461,True
conformal_padrao,1,2025-04-01,0.024534,0.018777,-0.012560,0.050113,True
conformal_padrao,1,2025-05-01,0.031809,0.016847,-0.014489,0.048184,True
conformal_padrao,1,2025-06-01,-0.011418,0.021776,-0.009560,0.053113,False
conformal_padrao,1,2025-07-01,0.001932,-0.007027,-0.038364,0.024309,True
conformal_padrao,1,2025-08-01,0.011617,0.001969,-0.029368,0.033305,True
conformal_padrao,1,2025-09-01,-0.001918,0.008360,-0.022976,0.039697,True
conformal_padrao,1,2025-10-01,-0.000959,-0.000772,-0.032109,0.030564,True
conformal_padrao,1,2025-11-01,0.003857,-0.000435,-0.031772,0.030901,True
conformal_block_bootstrap,1,2023-07-01,-0.015826,-0.003917,-0.040490,0.032656,True
conformal_block_bootstrap,1,2023-08-01,0.002004,-0.014311,-0.050884,0.022262,True
conformal_block_bootstrap,1,2023-09-01,0.014257,-0.002343,-0.038916,0.034230,True
conformal_block_bootstrap,1,2023-10-01,0.003006,0.005907,-0.030666,0.042479,True
conformal_block_bootstrap,1,2023-11-01,0.014028,-0.001571,-0.038144,0.035002,True
conformal_block_bootstrap,1,2023-12-01,0.032032,0.005893,-0.030679,0.042466,True
conformal_block_bootstrap,1,2024-01-01,0.020060,0.018243,-0.018330,0.054816,True
conformal_block_bootstrap,1,2024-02-01,0.022111,0.010214,-0.026358,0.046787,True
conformal_block_bootstrap,1,2024-03-01,0.017928,0.011941,-0.024632,0.048514,True
conformal_block_bootstrap,1,2024-04-01,0.020020,0.009499,-0.027074,0.046072,True
conformal_block_bootstrap,1,2024-05-01,0.000000,0.011013,-0.025559,0.047586,True
conformal_block_bootstrap,1,2024-06-01,0.049950,-0.002205,-0.038778,0.034368,False
conformal_block_bootstrap,1,2024-07-01,0.040201,0.030946,-0.005627,0.067518,True
conformal_block_bootstrap,1,2024-08-01,0.033000,0.025382,-0.011191,0.061955,True
conformal_block_bootstrap,1,2024-09-01,0.047189,0.021443,-0.015130,0.058016,True
conformal_block_bootstrap,1,2024-10-01,0.041958,0.032007,-0.004565,0.068580,True
conformal_block_bootstrap,1,2024-11-01,0.024704,0.029065,-0.007508,0.065637,True
conformal_block_bootstrap,1,2024-12-01,0.005820,0.017662,-0.018911,0.054234,True
conformal_block_bootstrap,1,2025-01-01,0.018682,0.004887,-0.031686,0.041460,True
conformal_block_bootstrap,1,2025-02-01,0.012783,0.013827,-0.022746,0.050400,True
conformal_block_bootstrap,1,2025-03-01,0.027397,0.009125,-0.027448,0.045697,True
conformal_block_bootstrap,1,2025-04-01,0.024534,0.018777,-0.017796,0.055350,True
conformal_block_bootstrap,1,2025-05-01,0.031809,0.016847,-0.019726,0.053420,True
conformal_block_bootstrap,1,2025-06-01,-0.011418,0.021776,-0.014797,0.058349,True
conformal_block_bootstrap,1,2025-07-01,0.001932,-0.007027,-0.043600,0.029545,True
conformal_block_bootstrap,1,2025-08-01,0.011617,0.001969,-0.034604,0.038541,True
conformal_block_bootstrap,1,2025-09-01,-0.001918,0.008360,-0.028213,0.044933,True
conformal_block_bootstrap,1,2025-10-01,-0.000959,-0.000772,-0.037345,0.035800,True
conformal_block_bootstrap,1,2025-11-01,0.003857,-0.000435,-0.037008,0.036137,True
quantil_empirico_simples,1,2023-07-01,-0.015826,-0.003917,-0.031451,0.023617,True
quantil_empirico_simples,1,2023-08-01,0.002004,-0.014311,-0.041845,0.013223,True
